121|amorphis[song]=3_ The Lost Son (The Brother Slayer Part II)
122|amorphis[song]=3_ The Night Is Over
123|amorphis[song]=3_ The Orphan
124|amorphis[song]=3_ The Wanderer
125|amorphis[song]=4_ Born From Fire
126|amorphis[song]=4_ First Doom
127|amorphis[song]=4_ Levitation
128|amorphis[song]=4_ Misery Path
129|amorphis[song]=4_ Moon And Sun Part II: North's Sun
130|amorphis[song]=4_ Mourning Soil
131|amorphis[song]=4_ Narrow Path
132|amorphis[song]=4_ On Rich And Poor
133|amorphis[song]=4_ Shatters Within
134|amorphis[song]=4_ Sky Is Mine
135|amorphis[song]=4_ The Skull
136|amorphis[song]=4_ Towards And Against
137|amorphis[song]=4_ Tuonela
138|amorphis[song]=4_ Warriors Trail
139|amorphis[song]=4_ You I Need
140|amorphis[song]=5_ And I Hear Your Call
141|amorphis[song]=5_ Black Embrace
142|amorphis[song]=5_ Black Winter Day
143|amorphis[song]=5_ Crimson Wave
144|amorphis[song]=5_ Death Of A King
145|amorphis[song]=5_ Far From The Sun
146|amorphis[song]=5_ Greed
147|amorphis[song]=5_ Hopeless Days
148|amorphis[song]=5_ I Of Crimson Blood
149|amorphis[song]=5_ Majestic Beast
150|amorphis[song]=5_ My Kantele
151|amorphis[song]=5_ Song Of The Sage
152|amorphis[song]=5_ Under A Soil And Black Stone
153|amorphis[song]=5_ Vulgar Necrolatry
154|amorphis[song]=6_ Cares
155|amorphis[song]=6_ Divinity
156|amorphis[song]=6_ Drifting Memories
157|amorphis[song]=6_ Drowned Maid
158|amorphis[song]=6_ Ethereal Solitude
159|amorphis[song]=6_ Excursing From Existence
160|amorphis[song]=6_ Exile Of The Sons Of Uisliu
161|amorphis[song]=6_ Her Alone
162|amorphis[song]=6_ My Sun
163|amorphis[song]=6_ Nightbird's Song
164|amorphis[song]=6_ Perkele (The God Of Fire)
165|amorphis[song]=6_ Sacrifice
166|amorphis[song]=6_ Three Words
167|amorphis[song]=7_ Dark Path
168|amorphis[song]=7_ Enigma
169|amorphis[song]=7_ Forever More
170|amorphis[song]=7_ Highest Star
171|amorphis[song]=7_ In The Beginning
172|amorphis[song]=7_ Into The Abyss
173|amorphis[song]=7_ Killing Goodness
174|amorphis[song]=7_ Reformation
175|amorphis[song]=7_ Shining
176|amorphis[song]=7_ Song Of The Troubled One
177|amorphis[song]=7_ The Lost Name Of God
178|amorphis[song]=7_ The Smoke
179|amorphis[song]=8_ Enchanted By The Moon
180|amorphis[song]=8_ Enemy At The Gates
181|amorphis[song]=8_ Forgotten Sunrise
182|amorphis[song]=8_ God Of Deception
183|amorphis[song]=8_ Same Flesh
184|amorphis[song]=8_ Shaman
185|amorphis[song]=8_ Skyforger
186|amorphis[song]=8_ Soothsayer
187|amorphis[song]=8_ The Pilgrimage
188|amorphis[song]=8_ Veil Of Sin
189|amorphis[song]=8_ Weeper On The Shore
190|amorphis[song]=8_ Withered
191|amorphis[song]=9_ A New Day
192|amorphis[song]=9_ Brother Moon
193|amorphis[song]=9_ Captured State
194|amorphis[song]=9_ Course Of Fate
195|amorphis[song]=9_ Elegy
196|amorphis[song]=9_ Higher Ground
197|amorphis[song]=9_ Misery Path
198|amorphis[song]=9_ On A Stranded Shore
199|amorphis[song]=9_ Rusty Moon
200|amorphis[song]=9_ The White Swan
201|amorphis[song]=9_ To Fathers Cabin
202|amorphis[song]=9_ Tree Of Ages
203|anthrax[song]=10_ Burst
204|anthrax[song]=10_ Howling Furies
205|anthrax[song]=10_ I Am The Law
206|anthrax[song]=10_ Judas Priest
207|anthrax[song]=10_ One Man Stands
208|anthrax[song]=10_ Tester
209|anthrax[song]=10_ Time
210|anthrax[song]=11_ Bare
211|anthrax[song]=11_ Be All, End All
212|anthrax[song]=11_ Belly Of The Beast
213|anthrax[song]=11_ Crawl
214|anthrax[song]=11_ Discharge
215|anthrax[song]=11_ This Is Not An Exit
216|anthrax[song]=12_ Antisocial
217|anthrax[song]=12_ Efilnikufesin (N_F_L_)
218|anthrax[song]=12_ The Constant
219|anthrax[song]=13_ Be All, End All
220|anthrax[song]=13_ Revolution Screams
221|anthrax[song]=14_ Gung-Ho
222|anthrax[song]=15_ Anthrax
223|anthrax[song]=16_ Lone Justice
224|anthrax[song]=17_ In My World
225|anthrax[song]=1_ A_I_R_
226|anthrax[song]=1_ Among The Living
227|anthrax[song]=1_ Armed And Dangerous
228|anthrax[song]=1_ Deathrider
229|anthrax[song]=1_ Potters Field
